is_sarcastic	headline
1	Cuanto más estoy contigo, más ganas me entran de quedarme solo
1	Tenemos un gran gobierno. Por eso nos ha costado tanto dinero
1	Me gustaría ser tu mejor desconocido
1	La suerte es el gran aliado de mis enemigos cuando tienen éxito
1	La memoria tiene un don: recuerda especialmente aquello que queremos olvidar
1	Sé hacer varias cosas a la vez, pero se me da mejor evitar hacer varias cosas al mismo tiempo
1	Desde que me pusiste los cuernos he querido tirarme por un barranco, pero no lo voy a hacer porque no tengo alas, sino cuernos
1	¿Quieres ser productivo? Cambia tu personalidad
1	No puedes ser uno entre un millón, porque eso significaría que eres como otros siete millones de personas en este mundo
1	Si no aprendes a sonreír por ti mismo, yo puedo ayudarte haciéndolo por ti
1	Basta con hacerme feliz para que mi debilidad te permita jugar con mis sentimientos
1	El ser humano es extraordinario. Sabe identificar una piedra cuando se ha tropezado con ella por segunda vez
1	Alguien que piensa lógicamente proporciona un contraste genial al mundo
1	Soy experto fingiendo que la opinión de los demás me importa
1	Puedes ser cualquier cosa que quieres; sin embargo, en tu caso deberías apuntar bajo
1	La experiencia es algo maravilloso. Te permite reconocer un error cuando lo vuelves a cometer
1	El amor nunca muere de hambre; con frecuencia, de indigestión
1	Soy responsable de lo que digo, no de que lo entiendas
1	Si quisiera un centavo rompería la hucha de mi hijo -si tuviera un hijo-
1	El hombre feliz es más raro que un cuervo blanco
1	Si eres uno entre un millón, hay seis millones de personas exactamente igual que tú
1	Todos llevamos un niño dentro. A Algunos se nos nota y a otros no
1	Cada vez que te miro tengo un feroz deseo de sentirme solo
1	Discutir con una mujer es como ser atacado por un oso… Lo mejor es hacerse el muerto con la esperanza de que se aburra y se vaya
1	Si te casas lo lamentarás. Si no te casas, también lo lamentarás
1	Si todo parece estar yendo bien, obviamente has pasado algo por alto
1	El jurado está compuesto por doce personas elegidas para decidir quién tiene el mejor abogado
1	El humor se tiene o no se tiene y es la manera de ver las cosas con claridad
1	La gente aprecia las cosas pequeñas que haces por ellas. Y así es como evitas que te pidan hacer algo más
1	El hombre no es más que un omnívoro que viste pantalones
1	El amor tiene fácil la entrada y difícil la salida
1	El hombre moderno es el eslabón perdido entre los monos y el ser humano
1	Me gustaría tomarte en serio, pero hacerlo sería ofender tu inteligencia
1	Él puede parecer un idiota y actuar como un idiota. Pero no se deje engañar. Es realmente un idiota
1	No soy vegetariana porque ame a los animales; lo soy porque odio a las plantas
1	El matrimonio es tratar de solucionar entre dos problemas que nunca hubieran surgido al estar solos
1	Hoy me enamoré de alguien que ni siquiera conozco, ¿y ustedes qué han hecho para arruinar sus vidas?
1	Nada hay en la tierra más difícil de sostener que la boca
1	Si pudiéramos vender nuestras experiencias en lo que nos cuestan, todos seríamos millonarios
1	Disculpen si les llamo caballeros, pero es que no les conozco muy bien
1	Las mujeres son como los delfines: está comprobado científicamente que son demasiado inteligentes, pero pocos las entienden
1	Nunca desperdicies una oportunidad para callarte
